Out Time,Out Airline,Out Cities,Out Duration,Out Stops,Out Stop Cities,Return Time,Return Airline,Return Cities,Return Duration,Return Stops,Return Stop Cities,Price,timestamp,sort
7:25 pm – 5:00 am +2,"Alaska Airlines, Asiana Airlines",SAN‐ICN,17h35m,1,SFO,6:20 pm – 5:04 pm,"Asiana Airlines, Alaska Airlines",ICN‐SAN,14h44m,1,SEA,1136,20220405-0932,cheap
7:25 pm – 5:00 am +2,"Alaska Airlines, Asiana Airlines",SAN‐ICN,17h35m,1,SFO,6:20 pm – 6:45 pm,"Asiana Airlines, Alaska Airlines",ICN‐SAN,16h25m,1,SEA,1136,20220405-0932,cheap
7:25 pm – 5:00 am +2,"Alaska Airlines, Asiana Airlines",SAN‐ICN,17h35m,1,SFO,8:40 pm – 9:20 pm,"Asiana Airlines, Alaska Airlines",ICN‐SAN,16h40m,1,SFO,1136,20220405-0932,cheap
4:25 pm – 5:00 am +2,"Alaska Airlines, Asiana Airlines",SAN‐ICN,20h35m,1,SFO,6:20 pm – 5:04 pm,"Asiana Airlines, Alaska Airlines",ICN‐SAN,14h44m,1,SEA,1136,20220405-0932,cheap
7:25 pm – 5:00 am +2,"Alaska Airlines, Asiana Airlines",SAN‐ICN,17h35m,1,SFO,8:40 pm – 11:05 pm,"Asiana Airlines, Alaska Airlines",ICN‐SAN,18h25m,1,SFO,1136,20220405-0932,cheap
7:25 pm – 5:00 am +2,"Alaska Airlines, Asiana Airlines",SAN‐ICN,17h35m,1,SFO,6:20 pm – 9:37 pm,"Asiana Airlines, Alaska Airlines",ICN‐SAN,19h17m,1,SEA,1136,20220405-0932,cheap
4:25 pm – 5:00 am +2,"Alaska Airlines, Asiana Airlines",SAN‐ICN,20h35m,1,SFO,6:20 pm – 6:45 pm,"Asiana Airlines, Alaska Airlines",ICN‐SAN,16h25m,1,SEA,1136,20220405-0932,cheap
4:25 pm – 5:00 am +2,"Alaska Airlines, Asiana Airlines",SAN‐ICN,20h35m,1,SFO,8:40 pm – 9:20 pm,"Asiana Airlines, Alaska Airlines",ICN‐SAN,16h40m,1,SFO,1136,20220405-0932,cheap
7:25 pm – 5:00 am +2,"Alaska Airlines, Asiana Airlines",SAN‐ICN,17h35m,1,SFO,6:20 pm – 11:37 pm,"Asiana Airlines, Alaska Airlines",ICN‐SAN,21h17m,1,SEA,1136,20220405-0932,cheap
4:25 pm – 5:00 am +2,"Alaska Airlines, Asiana Airlines",SAN‐ICN,20h35m,1,SFO,8:40 pm – 11:05 pm,"Asiana Airlines, Alaska Airlines",ICN‐SAN,18h25m,1,SFO,1136,20220405-0932,cheap
12:35 pm – 5:00 am +2,"Alaska Airlines, Asiana Airlines",SAN‐ICN,24h25m,1,SFO,6:20 pm – 5:04 pm,"Asiana Airlines, Alaska Airlines",ICN‐SAN,14h44m,1,SEA,1136,20220405-0932,cheap
4:25 pm – 5:00 am +2,"Alaska Airlines, Asiana Airlines",SAN‐ICN,20h35m,1,SFO,6:20 pm – 9:37 pm,"Asiana Airlines, Alaska Airlines",ICN‐SAN,19h17m,1,SEA,1136,20220405-0932,cheap
12:35 pm – 5:00 am +2,"Alaska Airlines, Asiana Airlines",SAN‐ICN,24h25m,1,SFO,6:20 pm – 6:45 pm,"Asiana Airlines, Alaska Airlines",ICN‐SAN,16h25m,1,SEA,1136,20220405-0932,cheap
10:45 am – 5:00 am +2,"Alaska Airlines, Asiana Airlines",SAN‐ICN,26h15m,1,SFO,6:20 pm – 5:04 pm,"Asiana Airlines, Alaska Airlines",ICN‐SAN,14h44m,1,SEA,1136,20220405-0932,cheap
12:35 pm – 5:00 am +2,"Alaska Airlines, Asiana Airlines",SAN‐ICN,24h25m,1,SFO,8:40 pm – 9:20 pm,"Asiana Airlines, Alaska Airlines",ICN‐SAN,16h40m,1,SFO,1136,20220405-0932,cheap
7:25 pm – 5:00 am +2,"Alaska Airlines, Asiana Airlines",SAN‐ICN,17h35m,1,SFO,6:20 pm – 5:04 pm,"Asiana Airlines, Alaska Airlines",ICN‐SAN,14h44m,1,SEA,1136,20220405-0929,best
7:25 pm – 5:00 am +2,"Alaska Airlines, Asiana Airlines",SAN‐ICN,17h35m,1,SFO,6:20 pm – 6:45 pm,"Asiana Airlines, Alaska Airlines",ICN‐SAN,16h25m,1,SEA,1136,20220405-0929,best
7:25 pm – 5:00 am +2,"Alaska Airlines, Asiana Airlines",SAN‐ICN,17h35m,1,SFO,8:40 pm – 9:20 pm,"Asiana Airlines, Alaska Airlines",ICN‐SAN,16h40m,1,SFO,1136,20220405-0929,best
4:25 pm – 5:00 am +2,"Alaska Airlines, Asiana Airlines",SAN‐ICN,20h35m,1,SFO,6:20 pm – 5:04 pm,"Asiana Airlines, Alaska Airlines",ICN‐SAN,14h44m,1,SEA,1136,20220405-0929,best
7:25 pm – 5:00 am +2,"Alaska Airlines, Asiana Airlines",SAN‐ICN,17h35m,1,SFO,8:40 pm – 11:05 pm,"Asiana Airlines, Alaska Airlines",ICN‐SAN,18h25m,1,SFO,1136,20220405-0929,best
7:25 pm – 5:00 am +2,"Alaska Airlines, Asiana Airlines",SAN‐ICN,17h35m,1,SFO,6:20 pm – 9:37 pm,"Asiana Airlines, Alaska Airlines",ICN‐SAN,19h17m,1,SEA,1136,20220405-0929,best
